RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000101,人事費,0,,0,,0,,0,,1.748718E+10,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000101,人事費,0,,0,,0,,0,,4.331844E+08,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000102,經常支出_其他,0,,0,,0,,0,,9.78749E+08,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000102,經常支出_其他,0,,0,,0,,0,,2.380775E+08,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,2300400002,資本支出,0,,0,,0,,0,,5.86954E+08,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400002,資本支出,0,,0,,0,,0,,2.01275E+07,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000101,人事費,0,,0,,0,,0,,1.518232E+10,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000101,人事費,0,,0,,0,,0,,4.075647E+08,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000102,經常支出_其他,0,,0,,0,,0,,4.514369E+08,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000102,經常支出_其他,0,,0,,0,,0,,2.457198E+08,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,2300400002,資本支出,0,,0,,0,,0,,4.979399E+08,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400002,資本支出,0,,0,,0,,0,,1.17574E+08,,387040000E,教育局,2017/2/6 上午 11:10:35,2017/2/9 上午 08:19:39
