縣市別,園數總數,公立園數,公立專設園數,分班園數,園長總數,公立,教師總數,公立教師數,教保員總數,公立教保員數,助理教保員總數,公立助理教保員數,服務人員總數,公立服務人員總數,職員總數,公立職員總數,幼生總數,公立幼生,年度
新北市,1096,245,27,58,815,26,1682,1127,4513,848,504,8,0,0,2301,530,73526,22651,105
臺北市,687,149,14,0,538,14,1985,1205,2228,254,157,0,0,0,1824,330,47269,17863,105
桃園市,528,126,15,84,386,13,967,349,2668,490,311,22,0,0,1581,319,44367,9716,105
臺中市,659,159,22,74,502,22,1465,620,3731,677,475,20,0,0,1915,436,65946,14503,105
臺南市,528,183,17,29,331,14,1150,535,2112,333,272,4,0,0,1091,113,40731,10088,105
高雄市,677,211,12,3,450,11,1552,803,2767,307,275,5,0,0,1457,282,49321,11713,105
宜蘭縣,109,56,12,20,61,10,207,140,629,305,75,17,0,0,347,133,9791,5039,105
新竹縣,216,59,14,20,163,10,344,132,841,133,115,2,0,0,696,118,13997,2842,105
苗栗縣,174,67,10,7,112,8,252,119,666,155,41,3,0,0,421,112,10492,2725,105
彰化縣,320,72,25,59,250,17,349,155,1664,497,149,28,0,0,743,262,24073,7744,105
南投縣,177,98,10,14,80,8,225,179,597,233,48,8,0,0,362,165,9328,3970,105
雲林縣,140,47,20,19,90,16,193,69,810,402,79,33,0,0,524,241,12818,5636,105
嘉義縣,142,84,14,15,60,5,240,154,475,215,57,20,0,0,296,117,8175,3708,105
屏東縣,274,124,19,27,154,11,328,221,908,267,99,19,2,0,458,184,13986,5071,105
臺東縣,117,93,14,6,32,10,210,182,224,149,19,9,0,0,219,134,4319,2790,105
花蓮縣,131,85,10,7,50,5,177,114,407,232,44,10,0,0,219,132,6561,3523,105
澎湖縣,23,18,4,5,8,3,38,33,102,66,12,8,0,0,98,63,1635,1094,105
基隆市,102,41,3,6,60,3,203,179,317,59,29,1,0,0,260,70,6091,2640,105
新竹市,161,28,1,0,132,1,416,157,584,50,85,3,0,0,407,40,11697,2352,105
嘉義市,71,15,2,0,58,2,192,100,318,21,38,0,0,0,173,35,5918,1463,105
金門縣,24,19,1,2,6,1,99,99,81,67,4,0,0,0,49,44,1851,1675,105
連江縣,6,5,0,0,1,0,17,17,6,3,1,0,0,0,7,6,223,173,105
